epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.643,1.47945,1.64739,1.32926,0.62835,0.68891,0.65903,0.35615,1.52161,1.29837,1.41438,0.000661939,0.000661939,0.000661939
2,203.686,1.34874,1.12716,1.26771,0.64037,0.62945,0.62005,0.33389,1.53713,1.4584,1.43687,0.00119707,0.00119707,0.00119707
3,300.904,1.32956,1.06843,1.2516,0.44403,0.47003,0.41072,0.1954,1.75298,1.67383,1.59727,0.00160021,0.00160021,0.00160021
4,396.531,1.2865,0.97737,1.23307,0.73227,0.71025,0.73971,0.44209,1.32827,1.08301,1.2792,0.001406,0.001406,0.001406
5,491.342,1.23408,0.92457,1.20296,0.73699,0.73023,0.76594,0.47719,1.315,0.98487,1.25715,0.001208,0.001208,0.001208
6,584.954,1.19861,0.86847,1.18751,0.71498,0.77153,0.79317,0.49021,1.26518,0.97943,1.23879,0.00101,0.00101,0.00101
7,678.902,1.14379,0.80078,1.15168,0.78467,0.74761,0.81917,0.52002,1.22992,0.89526,1.18726,0.000812,0.000812,0.000812
8,773.604,1.12275,0.76996,1.13769,0.77063,0.77715,0.83601,0.53878,1.20476,0.83913,1.19086,0.000614,0.000614,0.000614
9,867.735,1.08084,0.7168,1.11528,0.80361,0.77502,0.83737,0.53549,1.21368,0.83232,1.18097,0.000416,0.000416,0.000416
10,965.045,1.03589,0.66766,1.10017,0.78952,0.80661,0.85401,0.55419,1.18499,0.78706,1.17302,0.000218,0.000218,0.000218
